Category: All categories

Week,zbor Amsterdam: (Worldwide)
2023-01-01,61
2023-01-08,42
2023-01-15,55
2023-01-22,68
2023-01-29,35
2023-02-05,75
2023-02-12,80
2023-02-19,43
2023-02-26,65
2023-03-05,54
2023-03-12,77
2023-03-19,28
2023-03-26,1
2023-04-02,52
2023-04-09,<1
2023-04-16,100
2023-04-23,72
2023-04-30,52
2023-05-07,44
2023-05-14,23
2023-05-21,33
2023-05-28,29
2023-06-04,56
2023-06-11,0
2023-06-18,1
2023-06-25,26
2023-07-02,21
2023-07-09,0
2023-07-16,25
2023-07-23,78
2023-07-30,29
2023-08-06,22
2023-08-13,43
2023-08-20,61
2023-08-27,47
2023-09-03,28
2023-09-10,66
2023-09-17,2
2023-09-24,15
2023-10-01,18
2023-10-08,37
2023-10-15,37
2023-10-22,1
2023-10-29,35
2023-11-05,28
2023-11-12,16
2023-11-19,38
2023-11-26,1
2023-12-03,87
2023-12-10,0
2023-12-17,45
2023-12-24,20
2023-12-31,53
