Category: All categories

Week,zbor Atena: (Worldwide)
2023-01-01,64
2023-01-08,97
2023-01-15,46
2023-01-22,0
2023-01-29,36
2023-02-05,42
2023-02-12,84
2023-02-19,80
2023-02-26,0
2023-03-05,0
2023-03-12,39
2023-03-19,62
2023-03-26,100
2023-04-02,75
2023-04-09,56
2023-04-16,76
2023-04-23,64
2023-04-30,40
2023-05-07,40
2023-05-14,77
2023-05-21,74
2023-05-28,37
2023-06-04,52
2023-06-11,81
2023-06-18,29
2023-06-25,17
2023-07-02,53
2023-07-09,94
2023-07-16,1
2023-07-23,97
2023-07-30,45
2023-08-06,40
2023-08-13,41
2023-08-20,66
2023-08-27,37
2023-09-03,87
2023-09-10,0
2023-09-17,1
2023-09-24,57
2023-10-01,0
2023-10-08,57
2023-10-15,0
2023-10-22,45
2023-10-29,57
2023-11-05,44
2023-11-12,64
2023-11-19,0
2023-11-26,0
2023-12-03,43
2023-12-10,36
2023-12-17,74
2023-12-24,41
2023-12-31,68
