Category: All categories

Week,zbor Barcelona: (Worldwide)
2023-01-01,86
2023-01-08,85
2023-01-15,62
2023-01-22,62
2023-01-29,70
2023-02-05,50
2023-02-12,40
2023-02-19,95
2023-02-26,68
2023-03-05,35
2023-03-12,79
2023-03-19,74
2023-03-26,80
2023-04-02,93
2023-04-09,23
2023-04-16,52
2023-04-23,64
2023-04-30,83
2023-05-07,27
2023-05-14,59
2023-05-21,63
2023-05-28,46
2023-06-04,42
2023-06-11,49
2023-06-18,61
2023-06-25,65
2023-07-02,89
2023-07-09,44
2023-07-16,80
2023-07-23,57
2023-07-30,93
2023-08-06,49
2023-08-13,67
2023-08-20,47
2023-08-27,64
2023-09-03,56
2023-09-10,46
2023-09-17,23
2023-09-24,59
2023-10-01,35
2023-10-08,61
2023-10-15,52
2023-10-22,100
2023-10-29,35
2023-11-05,40
2023-11-12,59
2023-11-19,19
2023-11-26,29
2023-12-03,15
2023-12-10,31
2023-12-17,20
2023-12-24,63
2023-12-31,68
