Category: All categories

Week,zbor Berlin: (Worldwide)
2023-01-01,55
2023-01-08,100
2023-01-15,0
2023-01-22,23
2023-01-29,25
2023-02-05,0
2023-02-12,28
2023-02-19,47
2023-02-26,37
2023-03-05,0
2023-03-12,19
2023-03-19,27
2023-03-26,56
2023-04-02,41
2023-04-09,34
2023-04-16,17
2023-04-23,30
2023-04-30,33
2023-05-07,27
2023-05-14,54
2023-05-21,0
2023-05-28,15
2023-06-04,17
2023-06-11,51
2023-06-18,23
2023-06-25,23
2023-07-02,58
2023-07-09,1
2023-07-16,51
2023-07-23,72
2023-07-30,43
2023-08-06,17
2023-08-13,24
2023-08-20,19
2023-08-27,32
2023-09-03,23
2023-09-10,28
2023-09-17,41
2023-09-24,26
2023-10-01,1
2023-10-08,35
2023-10-15,0
2023-10-22,39
2023-10-29,37
2023-11-05,0
2023-11-12,2
2023-11-19,0
2023-11-26,22
2023-12-03,67
2023-12-10,0
2023-12-17,19
2023-12-24,1
2023-12-31,44
