Category: All categories

Week,zbor Copenhaga: (Worldwide)
2023-01-01,1
2023-01-08,0
2023-01-15,0
2023-01-22,27
2023-01-29,18
2023-02-05,0
2023-02-12,0
2023-02-19,50
2023-02-26,21
2023-03-05,0
2023-03-12,2
2023-03-19,22
2023-03-26,0
2023-04-02,0
2023-04-09,22
2023-04-16,0
2023-04-23,34
2023-04-30,39
2023-05-07,21
2023-05-14,33
2023-05-21,0
2023-05-28,100
2023-06-04,29
2023-06-11,1
2023-06-18,22
2023-06-25,15
2023-07-02,0
2023-07-09,2
2023-07-16,0
2023-07-23,54
2023-07-30,1
2023-08-06,31
2023-08-13,0
2023-08-20,21
2023-08-27,24
2023-09-03,1
2023-09-10,0
2023-09-17,0
2023-09-24,34
2023-10-01,1
2023-10-08,27
2023-10-15,<1
2023-10-22,1
2023-10-29,0
2023-11-05,24
2023-11-12,1
2023-11-19,23
2023-11-26,1
2023-12-03,26
2023-12-10,20
2023-12-17,23
2023-12-24,24
2023-12-31,12
