Category: All categories

Week,zbor Dublin: (Worldwide)
2023-01-01,32
2023-01-08,63
2023-01-15,15
2023-01-22,47
2023-01-29,0
2023-02-05,79
2023-02-12,54
2023-02-19,52
2023-02-26,31
2023-03-05,65
2023-03-12,42
2023-03-19,60
2023-03-26,74
2023-04-02,17
2023-04-09,37
2023-04-16,36
2023-04-23,79
2023-04-30,41
2023-05-07,41
2023-05-14,0
2023-05-21,47
2023-05-28,0
2023-06-04,36
2023-06-11,20
2023-06-18,22
2023-06-25,39
2023-07-02,57
2023-07-09,20
2023-07-16,36
2023-07-23,44
2023-07-30,100
2023-08-06,42
2023-08-13,62
2023-08-20,35
2023-08-27,45
2023-09-03,35
2023-09-10,35
2023-09-17,49
2023-09-24,23
2023-10-01,38
2023-10-08,19
2023-10-15,53
2023-10-22,33
2023-10-29,60
2023-11-05,76
2023-11-12,33
2023-11-19,42
2023-11-26,33
2023-12-03,42
2023-12-10,31
2023-12-17,63
2023-12-24,20
2023-12-31,60
