Category: All categories

Week,zbor Frankfurt: (Worldwide)
2023-01-01,47
2023-01-08,50
2023-01-15,34
2023-01-22,15
2023-01-29,49
2023-02-05,17
2023-02-12,28
2023-02-19,46
2023-02-26,0
2023-03-05,0
2023-03-12,72
2023-03-19,40
2023-03-26,1
2023-04-02,100
2023-04-09,27
2023-04-16,47
2023-04-23,61
2023-04-30,69
2023-05-07,59
2023-05-14,43
2023-05-21,48
2023-05-28,42
2023-06-04,53
2023-06-11,40
2023-06-18,61
2023-06-25,1
2023-07-02,78
2023-07-09,49
2023-07-16,44
2023-07-23,46
2023-07-30,36
2023-08-06,30
2023-08-13,59
2023-08-20,18
2023-08-27,34
2023-09-03,43
2023-09-10,14
2023-09-17,34
2023-09-24,34
2023-10-01,35
2023-10-08,46
2023-10-15,40
2023-10-22,79
2023-10-29,24
2023-11-05,49
2023-11-12,35
2023-11-19,56
2023-11-26,1
2023-12-03,74
2023-12-10,44
2023-12-17,28
2023-12-24,38
2023-12-31,73
