Category: All categories

Week,zbor Istanbul: (Worldwide)
2023-01-01,53
2023-01-08,100
2023-01-15,49
2023-01-22,63
2023-01-29,44
2023-02-05,41
2023-02-12,32
2023-02-19,25
2023-02-26,44
2023-03-05,44
2023-03-12,34
2023-03-19,55
2023-03-26,40
2023-04-02,65
2023-04-09,81
2023-04-16,89
2023-04-23,46
2023-04-30,31
2023-05-07,72
2023-05-14,29
2023-05-21,43
2023-05-28,54
2023-06-04,95
2023-06-11,40
2023-06-18,42
2023-06-25,72
2023-07-02,54
2023-07-09,70
2023-07-16,49
2023-07-23,40
2023-07-30,49
2023-08-06,84
2023-08-13,59
2023-08-20,50
2023-08-27,52
2023-09-03,39
2023-09-10,64
2023-09-17,39
2023-09-24,41
2023-10-01,51
2023-10-08,47
2023-10-15,39
2023-10-22,40
2023-10-29,61
2023-11-05,36
2023-11-12,25
2023-11-19,38
2023-11-26,39
2023-12-03,55
2023-12-10,34
2023-12-17,39
2023-12-24,41
2023-12-31,75
