Category: All categories

Week,zbor Lisabona: (Worldwide)
2023-01-01,68
2023-01-08,49
2023-01-15,53
2023-01-22,62
2023-01-29,50
2023-02-05,100
2023-02-12,1
2023-02-19,63
2023-02-26,27
2023-03-05,94
2023-03-12,52
2023-03-19,18
2023-03-26,91
2023-04-02,94
2023-04-09,40
2023-04-16,61
2023-04-23,23
2023-04-30,79
2023-05-07,71
2023-05-14,60
2023-05-21,60
2023-05-28,66
2023-06-04,1
2023-06-11,45
2023-06-18,46
2023-06-25,0
2023-07-02,51
2023-07-09,41
2023-07-16,0
2023-07-23,24
2023-07-30,45
2023-08-06,0
2023-08-13,41
2023-08-20,21
2023-08-27,20
2023-09-03,18
2023-09-10,16
2023-09-17,0
2023-09-24,41
2023-10-01,0
2023-10-08,0
2023-10-15,52
2023-10-22,30
2023-10-29,20
2023-11-05,0
2023-11-12,21
2023-11-19,1
2023-11-26,0
2023-12-03,0
2023-12-10,34
2023-12-17,39
2023-12-24,67
2023-12-31,68
