Category: All categories

Week,zbor Madrid: (Worldwide)
2023-01-01,73
2023-01-08,35
2023-01-15,33
2023-01-22,58
2023-01-29,50
2023-02-05,56
2023-02-12,100
2023-02-19,43
2023-02-26,41
2023-03-05,42
2023-03-12,45
2023-03-19,50
2023-03-26,61
2023-04-02,33
2023-04-09,0
2023-04-16,72
2023-04-23,89
2023-04-30,32
2023-05-07,29
2023-05-14,42
2023-05-21,45
2023-05-28,52
2023-06-04,37
2023-06-11,40
2023-06-18,43
2023-06-25,70
2023-07-02,25
2023-07-09,30
2023-07-16,53
2023-07-23,50
2023-07-30,66
2023-08-06,60
2023-08-13,62
2023-08-20,43
2023-08-27,43
2023-09-03,64
2023-09-10,49
2023-09-17,53
2023-09-24,0
2023-10-01,39
2023-10-08,39
2023-10-15,56
2023-10-22,34
2023-10-29,42
2023-11-05,40
2023-11-12,27
2023-11-19,43
2023-11-26,16
2023-12-03,45
2023-12-10,36
2023-12-17,26
2023-12-24,95
2023-12-31,72
