Category: All categories

Week,zbor Oslo: (Worldwide)
2023-01-01,100
2023-01-08,18
2023-01-15,0
2023-01-22,0
2023-01-29,33
2023-02-05,0
2023-02-12,50
2023-02-19,50
2023-02-26,23
2023-03-05,1
2023-03-12,25
2023-03-19,83
2023-03-26,21
2023-04-02,0
2023-04-09,23
2023-04-16,47
2023-04-23,0
2023-04-30,21
2023-05-07,18
2023-05-14,15
2023-05-21,1
2023-05-28,55
2023-06-04,32
2023-06-11,0
2023-06-18,18
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,31
2023-07-23,0
2023-07-30,37
2023-08-06,1
2023-08-13,2
2023-08-20,3
2023-08-27,19
2023-09-03,27
2023-09-10,3
2023-09-17,40
2023-09-24,0
2023-10-01,1
2023-10-08,21
2023-10-15,37
2023-10-22,20
2023-10-29,0
2023-11-05,36
2023-11-12,0
2023-11-19,0
2023-11-26,1
2023-12-03,1
2023-12-10,34
2023-12-17,0
2023-12-24,0
2023-12-31,30
