Category: All categories

Week,zbor Roma: (Worldwide)
2023-01-01,50
2023-01-08,64
2023-01-15,69
2023-01-22,82
2023-01-29,62
2023-02-05,61
2023-02-12,66
2023-02-19,58
2023-02-26,74
2023-03-05,53
2023-03-12,45
2023-03-19,80
2023-03-26,96
2023-04-02,45
2023-04-09,68
2023-04-16,100
2023-04-23,30
2023-04-30,72
2023-05-07,75
2023-05-14,51
2023-05-21,55
2023-05-28,43
2023-06-04,40
2023-06-11,20
2023-06-18,57
2023-06-25,47
2023-07-02,75
2023-07-09,52
2023-07-16,45
2023-07-23,49
2023-07-30,88
2023-08-06,57
2023-08-13,53
2023-08-20,54
2023-08-27,73
2023-09-03,50
2023-09-10,48
2023-09-17,69
2023-09-24,38
2023-10-01,53
2023-10-08,53
2023-10-15,47
2023-10-22,16
2023-10-29,54
2023-11-05,32
2023-11-12,45
2023-11-19,47
2023-11-26,47
2023-12-03,11
2023-12-10,34
2023-12-17,30
2023-12-24,46
2023-12-31,98
