Category: All categories

Week,zbor Viena: (Worldwide)
2023-01-01,53
2023-01-08,69
2023-01-15,60
2023-01-22,62
2023-01-29,0
2023-02-05,30
2023-02-12,40
2023-02-19,46
2023-02-26,44
2023-03-05,30
2023-03-12,39
2023-03-19,42
2023-03-26,26
2023-04-02,54
2023-04-09,37
2023-04-16,1
2023-04-23,52
2023-04-30,24
2023-05-07,34
2023-05-14,36
2023-05-21,<1
2023-05-28,45
2023-06-04,31
2023-06-11,24
2023-06-18,30
2023-06-25,36
2023-07-02,13
2023-07-09,31
2023-07-16,38
2023-07-23,38
2023-07-30,68
2023-08-06,37
2023-08-13,70
2023-08-20,43
2023-08-27,52
2023-09-03,76
2023-09-10,47
2023-09-17,80
2023-09-24,52
2023-10-01,53
2023-10-08,26
2023-10-15,48
2023-10-22,99
2023-10-29,87
2023-11-05,57
2023-11-12,49
2023-11-19,100
2023-11-26,76
2023-12-03,39
2023-12-10,59
2023-12-17,52
2023-12-24,72
2023-12-31,46
