Category: All categories

Week,zbor Zurich: (Worldwide)
2023-01-01,1
2023-01-08,20
2023-01-15,27
2023-01-22,0
2023-01-29,26
2023-02-05,27
2023-02-12,29
2023-02-19,31
2023-02-26,0
2023-03-05,0
2023-03-12,31
2023-03-19,2
2023-03-26,0
2023-04-02,23
2023-04-09,25
2023-04-16,18
2023-04-23,36
2023-04-30,0
2023-05-07,100
2023-05-14,1
2023-05-21,0
2023-05-28,49
2023-06-04,38
2023-06-11,0
2023-06-18,42
2023-06-25,66
2023-07-02,34
2023-07-09,55
2023-07-16,0
2023-07-23,60
2023-07-30,57
2023-08-06,53
2023-08-13,0
2023-08-20,66
2023-08-27,1
2023-09-03,29
2023-09-10,47
2023-09-17,30
2023-09-24,0
2023-10-01,73
2023-10-08,0
2023-10-15,25
2023-10-22,0
2023-10-29,58
2023-11-05,0
2023-11-12,2
2023-11-19,35
2023-11-26,29
2023-12-03,30
2023-12-10,19
2023-12-17,27
2023-12-24,54
2023-12-31,69
