,date_of_enquiry,departure,destination,flight_date,flight_time,arrival_time,airline,layovers,flight_duration,price
0,2023-12-15,Cluj,Istanbul,2023-12-20,09:30,12:20,AF,0,110,299
1,2023-12-15,Cluj,Istanbul,2023-12-21,21:45,00:30,AF,0,105,191
2,2023-12-15,Cluj,Istanbul,2023-12-22,09:30,12:20,AF,0,110,307
3,2023-12-15,Cluj,Istanbul,2023-12-23,21:45,00:30,AF,0,105,196
4,2023-12-15,Cluj,Istanbul,2023-12-26,21:45,00:30,AF,0,105,302
5,2023-12-15,Istanbul,Cluj,2023-12-26,20:15,20:55,AF,0,100,142
6,2023-12-15,Cluj,Istanbul,2023-12-27,09:30,12:20,AF,0,110,299
7,2023-12-15,Istanbul,Cluj,2023-12-27,08:05,08:40,AF,0,95,142
8,2023-12-15,Cluj,Istanbul,2023-12-28,21:45,00:30,AF,0,105,192
9,2023-12-15,Istanbul,Cluj,2023-12-28,20:15,20:55,AF,0,100,142
10,2023-12-15,Cluj,Istanbul,2023-12-29,09:30,12:20,AF,0,110,307
11,2023-12-15,Istanbul,Cluj,2023-12-29,08:05,08:40,AF,0,95,145
12,2023-12-15,Cluj,Istanbul,2023-12-30,21:45,00:30,AF,0,105,216
13,2023-12-15,Istanbul,Cluj,2023-12-30,20:15,20:55,AF,0,100,145
14,2023-12-15,Istanbul,Cluj,2024-01-02,20:15,20:55,AF,0,100,213
15,2023-12-15,Istanbul,Cluj,2024-01-03,08:05,08:40,AF,0,95,213
16,2023-12-15,Istanbul,Cluj,2024-01-04,20:15,20:55,AF,0,100,213
17,2023-12-15,Istanbul,Cluj,2024-01-05,08:05,08:40,AF,0,95,267
18,2023-12-15,Cluj,Londra,2023-12-20,18:25,19:30,AF,0,185,40
19,2023-12-15,Cluj,Londra,2023-12-21,18:25,19:30,AF,0,185,30
20,2023-12-15,Cluj,Londra,2023-12-22,06:20,07:30,AF,0,190,30
21,2023-12-15,Cluj,Londra,2023-12-23,18:25,19:30,AF,0,185,30
22,2023-12-15,Cluj,Londra,2023-12-26,06:20,07:30,AF,0,190,44
23,2023-12-15,Londra,Cluj,2023-12-26,20:15,01:10,AF,0,175,100
24,2023-12-15,Cluj,Londra,2023-12-27,18:25,19:30,AF,0,185,64
25,2023-12-15,Londra,Cluj,2023-12-27,08:15,13:10,AF,0,175,105
26,2023-12-15,Cluj,Londra,2023-12-28,18:25,19:30,AF,0,185,80
27,2023-12-15,Londra,Cluj,2023-12-28,08:15,13:10,AF,0,175,94
28,2023-12-15,Cluj,Londra,2023-12-29,18:25,19:30,AF,0,185,90
29,2023-12-15,Londra,Cluj,2023-12-29,20:15,01:10,AF,0,175,73
30,2023-12-15,Cluj,Londra,2023-12-30,22:45,23:45,AF,0,180,63
31,2023-12-15,Londra,Cluj,2023-12-30,17:15,22:00,AF,0,165,48
32,2023-12-15,Londra,Cluj,2024-01-02,08:15,13:10,AF,0,175,52
33,2023-12-15,Londra,Cluj,2024-01-03,08:15,13:10,AF,0,175,36
34,2023-12-15,Londra,Cluj,2024-01-04,20:15,01:10,AF,0,175,29
35,2023-12-15,Londra,Cluj,2024-01-05,08:15,13:10,AF,0,175,29
36,2023-12-15,Cluj,Paris,2023-12-20,12:25,14:05,AF,0,160,16
37,2023-12-15,Cluj,Paris,2023-12-21,19:30,21:10,AF,0,160,15
38,2023-12-15,Cluj,Paris,2023-12-22,12:20,14:00,AF,0,160,24
39,2023-12-15,Cluj,Paris,2023-12-23,06:40,08:30,AF,0,170,30
40,2023-12-15,Cluj,Paris,2023-12-26,06:40,08:30,AF,0,170,34
41,2023-12-15,Paris,Cluj,2023-12-26,09:15,12:50,AF,0,155,70
42,2023-12-15,Cluj,Paris,2023-12-27,12:25,14:05,AF,0,160,23
43,2023-12-15,Paris,Cluj,2023-12-27,08:15,11:55,AF,0,160,33
44,2023-12-15,Cluj,Paris,2023-12-28,19:30,21:10,AF,0,160,15
45,2023-12-15,Paris,Cluj,2023-12-28,15:20,19:00,AF,0,160,15
46,2023-12-15,Cluj,Paris,2023-12-29,12:20,14:00,AF,0,160,25
47,2023-12-15,Paris,Cluj,2023-12-29,08:10,11:50,AF,0,160,19
48,2023-12-15,Cluj,Paris,2023-12-30,06:40,08:30,AF,0,170,70
49,2023-12-15,Paris,Cluj,2023-12-30,09:15,12:50,AF,0,155,35
50,2023-12-15,Paris,Cluj,2024-01-02,09:15,12:50,AF,0,155,50
51,2023-12-15,Paris,Cluj,2024-01-03,08:15,11:55,AF,0,160,26
52,2023-12-15,Paris,Cluj,2024-01-04,15:20,19:00,AF,0,160,15
53,2023-12-15,Paris,Cluj,2024-01-05,08:10,11:50,AF,0,160,17
54,2023-12-15,Cluj,Amsterdam,2023-12-20,09:50,21:40,AF,1,770,67
55,2023-12-15,Cluj,Amsterdam,2023-12-21,06:20,12:40,AF,1,440,105
56,2023-12-15,Cluj,Amsterdam,2023-12-22,06:20,12:40,AF,1,440,115
57,2023-12-15,Cluj,Amsterdam,2023-12-23,06:30,13:45,AF,1,495,117
58,2023-12-15,Cluj,Amsterdam,2023-12-26,06:20,12:10,AF,1,410,140
59,2023-12-15,Amsterdam,Cluj,2023-12-26,17:50,01:10,AF,1,380,252
60,2023-12-15,Cluj,Amsterdam,2023-12-27,14:20,19:10,AF,1,350,183
61,2023-12-15,Amsterdam,Cluj,2023-12-27,07:00,13:15,AF,1,315,208
62,2023-12-15,Cluj,Amsterdam,2023-12-28,14:20,19:10,AF,1,350,186
63,2023-12-15,Amsterdam,Cluj,2023-12-28,08:55,13:40,AF,1,225,260
64,2023-12-15,Cluj,Amsterdam,2023-12-29,17:55,22:30,AF,1,335,171
65,2023-12-15,Amsterdam,Cluj,2023-12-29,08:55,13:40,AF,1,225,260
66,2023-12-15,Cluj,Amsterdam,2023-12-30,06:20,13:55,AF,1,515,256
67,2023-12-15,Amsterdam,Cluj,2023-12-30,08:55,13:40,AF,1,225,260
68,2023-12-15,Amsterdam,Cluj,2024-01-02,08:55,13:40,AF,1,225,330
69,2023-12-15,Amsterdam,Cluj,2024-01-03,08:55,13:40,AF,1,225,223
70,2023-12-15,Amsterdam,Cluj,2024-01-04,08:55,13:40,AF,1,225,223
71,2023-12-15,Amsterdam,Cluj,2024-01-05,08:55,13:40,AF,1,225,223
72,2023-12-15,Cluj,Madrid,2023-12-20,07:30,10:50,AF,0,260,100
73,2023-12-15,Cluj,Madrid,2023-12-21,07:10,12:40,AF,1,390,81
74,2023-12-15,Cluj,Madrid,2023-12-22,16:15,19:10,AF,0,235,121
75,2023-12-15,Cluj,Madrid,2023-12-23,15:05,22:20,AF,1,495,142
76,2023-12-15,Cluj,Madrid,2023-12-26,14:20,20:10,AF,1,410,149
77,2023-12-15,Madrid,Cluj,2023-12-26,07:05,14:00,AF,1,355,140
78,2023-12-15,Cluj,Madrid,2023-12-27,07:35,10:50,AF,0,255,131
79,2023-12-15,Madrid,Cluj,2023-12-27,11:40,16:20,AF,0,220,110
80,2023-12-15,Cluj,Madrid,2023-12-28,06:55,13:00,AF,1,425,208
81,2023-12-15,Madrid,Cluj,2023-12-28,15:55,00:45,AF,1,470,140
82,2023-12-15,Cluj,Madrid,2023-12-29,16:15,19:10,AF,0,235,121
83,2023-12-15,Madrid,Cluj,2023-12-29,20:00,00:40,AF,0,220,70
84,2023-12-15,Cluj,Madrid,2023-12-30,15:05,22:20,AF,1,495,207
85,2023-12-15,Madrid,Cluj,2023-12-30,07:05,14:00,AF,1,355,128
86,2023-12-15,Madrid,Cluj,2024-01-02,15:45,23:40,AF,1,415,233
87,2023-12-15,Madrid,Cluj,2024-01-03,19:30,00:10,AF,0,220,145
88,2023-12-15,Madrid,Cluj,2024-01-04,06:45,13:45,AF,1,360,108
89,2023-12-15,Madrid,Cluj,2024-01-05,20:00,00:40,AF,0,220,80
90,2023-12-15,Cluj,Frankfurt,2023-12-20,18:30,19:40,AF,0,130,154
91,2023-12-15,Cluj,Frankfurt,2023-12-21,10:50,12:00,AF,0,130,233
92,2023-12-15,Cluj,Frankfurt,2023-12-22,12:30,13:50,AF,0,140,64
93,2023-12-15,Cluj,Frankfurt,2023-12-23,14:20,18:05,AF,1,285,197
94,2023-12-15,Cluj,Frankfurt,2023-12-26,11:00,12:10,AF,0,130,278
95,2023-12-15,Frankfurt,Cluj,2023-12-26,07:20,10:20,AF,0,120,455
96,2023-12-15,Cluj,Frankfurt,2023-12-27,18:30,19:40,AF,0,130,192
97,2023-12-15,Frankfurt,Cluj,2023-12-27,14:50,17:50,AF,0,120,284
98,2023-12-15,Cluj,Frankfurt,2023-12-28,10:50,12:00,AF,0,130,233
99,2023-12-15,Frankfurt,Cluj,2023-12-28,07:10,10:10,AF,0,120,325
100,2023-12-15,Cluj,Frankfurt,2023-12-29,12:30,13:50,AF,0,140,64
101,2023-12-15,Frankfurt,Cluj,2023-12-29,14:25,17:35,AF,0,130,120
102,2023-12-15,Cluj,Frankfurt,2023-12-30,14:20,20:05,AF,1,405,290
103,2023-12-15,Frankfurt,Cluj,2023-12-30,07:15,13:40,AF,1,325,177
104,2023-12-15,Frankfurt,Cluj,2024-01-02,07:20,10:20,AF,0,120,155
105,2023-12-15,Frankfurt,Cluj,2024-01-03,14:50,17:50,AF,0,120,263
106,2023-12-15,Frankfurt,Cluj,2024-01-04,07:10,10:10,AF,0,120,155
107,2023-12-15,Frankfurt,Cluj,2024-01-05,14:25,17:35,AF,0,130,70
108,2023-12-15,Cluj,Barcelona,2023-12-20,18:35,20:40,AF,0,185,44
109,2023-12-15,Cluj,Barcelona,2023-12-21,06:55,09:00,AF,0,185,64
110,2023-12-15,Cluj,Barcelona,2023-12-22,07:10,13:55,AF,1,465,118
111,2023-12-15,Cluj,Barcelona,2023-12-23,06:10,08:15,AF,0,185,64
112,2023-12-15,Cluj,Barcelona,2023-12-26,06:00,08:05,AF,0,185,90
113,2023-12-15,Barcelona,Cluj,2023-12-26,08:40,12:45,AF,0,185,80
114,2023-12-15,Cluj,Barcelona,2023-12-27,18:35,20:40,AF,0,185,90
115,2023-12-15,Barcelona,Cluj,2023-12-27,21:20,01:25,AF,0,185,50
116,2023-12-15,Cluj,Barcelona,2023-12-28,06:55,09:00,AF,0,185,131
117,2023-12-15,Barcelona,Cluj,2023-12-28,09:40,13:45,AF,0,185,65
118,2023-12-15,Cluj,Barcelona,2023-12-29,14:30,19:50,AF,1,380,206
119,2023-12-15,Barcelona,Cluj,2023-12-29,07:55,13:40,AF,1,285,175
120,2023-12-15,Cluj,Barcelona,2023-12-30,06:10,08:15,AF,0,185,159
121,2023-12-15,Barcelona,Cluj,2023-12-30,08:55,13:00,AF,0,185,70
122,2023-12-15,Barcelona,Cluj,2024-01-02,08:40,12:45,AF,0,185,100
123,2023-12-15,Barcelona,Cluj,2024-01-03,21:20,01:25,AF,0,185,90
124,2023-12-15,Barcelona,Cluj,2024-01-04,09:40,13:45,AF,0,185,60
125,2023-12-15,Barcelona,Cluj,2024-01-05,07:55,13:40,AF,1,285,148
126,2023-12-15,Cluj,Munich,2023-12-20,06:15,07:00,AF,0,105,357
127,2023-12-15,Cluj,Munich,2023-12-21,14:20,15:05,AF,0,105,252
128,2023-12-15,Cluj,Munich,2023-12-22,06:15,07:00,AF,0,105,166
129,2023-12-15,Cluj,Munich,2023-12-23,06:15,07:00,AF,0,105,252
130,2023-12-15,Cluj,Munich,2023-12-26,14:20,15:05,AF,0,105,304
131,2023-12-15,Munich,Cluj,2023-12-26,11:00,13:40,AF,0,100,503
132,2023-12-15,Cluj,Munich,2023-12-27,14:20,15:05,AF,0,105,98
133,2023-12-15,Munich,Cluj,2023-12-27,11:00,13:40,AF,0,100,307
134,2023-12-15,Cluj,Munich,2023-12-28,14:20,15:05,AF,0,105,164
135,2023-12-15,Munich,Cluj,2023-12-28,11:00,13:40,AF,0,100,190
136,2023-12-15,Cluj,Munich,2023-12-29,14:20,15:05,AF,0,105,98
137,2023-12-15,Munich,Cluj,2023-12-29,11:00,13:40,AF,0,100,190
138,2023-12-15,Cluj,Munich,2023-12-30,14:20,15:05,AF,0,105,202
139,2023-12-15,Munich,Cluj,2023-12-30,11:00,13:40,AF,0,100,152
140,2023-12-15,Munich,Cluj,2024-01-02,11:00,13:40,AF,0,100,154
141,2023-12-15,Munich,Cluj,2024-01-03,11:00,13:40,AF,0,100,154
